RefID,Author,Year,Publication,Country,Source,Discipline,InTitle,Variation,Question,Protocol,DateSearch,ListSource,Platform,DatabaseCount,Database,SearchStrategy,SearchString,SearchFilter,SearchQuality,LibrarianAuthor,LibrarianConsulted,Criteria,Flowchart,Assessment,Reliability
1698,Moreno-Blanco,2019,Technologies for monitoring lifestyle habits related to brain health: A systematic review,Spain,Sensors,Biomedical,yes,systematic review,yes,no,no,yes,na,3,Web of Science;Scopus;PubMed,yes,yes,no,low,no,no,yes,no,no,no
1699,Moreno-Camacho,2019,Sustainability metrics for real case applications of the supply chain network design problem: A systematic literature review,Colombia,Journal of Medical & Biological Engineering,Industrial,yes,systematic review,yes,no,no,yes,na,2,Scopus;Web of Science,yes,no,no,low,no,no,yes,no,no,no
1700,Moretti,2017,A systematic review of environmental and economic impacts of smart grids,Belgium,Renewable & Sustainable Energy Reviews,Environmental,yes,systematic review,no,no,no,yes,na,3,Web of Science;ScienceDirect;Google Scholar,yes,no,yes,low,no,no,yes,no,no,no
1701,Morrison,2022,Ozone disinfection of waterborne pathogens and their surrogates: A critical review,United States,Water Research,Environmental,no,neither,no,no,yes,yes,na,1,Web of Science,yes,no,no,low,no,no,yes,no,no,yes
1702,Morton,2016,Entrepreneurship education for women in engineering: A systematic review of entrepreneurship assessment literature with a focus on gender,United States,"ASEE Annual Conference & Exposition, Conference Proceedings",Engineering education,yes,systematic review,no,no,yes,yes,yes,3,ABI/INFORM;Scopus;Education Resource Information Center,yes,no,yes,low,no,no,yes,no,no,no
1703,Mosavi,2019,"State of the art of machine learning models in energy systems, a systematic review",United Kingdom,Energies,Electrical,yes,systematic review,no,no,no,yes,na,2,Web of Science;Scopus,yes,no,no,low,no,no,no,no,no,no
1704,Mostafa,2015,Lean thinking for a maintenance process,Australia,Production & Manufacturing Research,Industrial,no,neither,no,no,no,yes,na,9,Taylor & Francis;EBSCOhost;Emerald Insight;IEEE Xplore;Inderscience;ProQuest;SAGE Journals Online;ScienceDirect;SpringerLink,yes,no,yes,low,no,no,no,no,no,no
1705,Moura,2015,Performance measurement systems in nonprofit organizations: A systematic literature review,Brazil,International Annual Conference of the American Society for Engineering Management,Industrial,yes,systematic review,yes,no,yes,yes,na,1,ScienceDirect,yes,yes,yes,low,no,no,yes,no,no,no
1706,Moura,2020,Factors for design of performance measurement systems for not-for-profit organizations,Brazil,Measuring Business Excellence,Industrial,no,neither,yes,no,no,yes,na,7,ScienceDirect;Taylor & Francis;Scopus;SpringerLink;Wiley Online Library;Web of Science;ProQuest,yes,no,no,low,no,no,yes,no,no,no
1707,Moura,2016,Identifying the factors that influence the design of performance measurement systems in not-for-profit organizations,Brazil,International Annual Conference of the American Society for Engineering Management,Industrial,no,neither,yes,no,no,yes,na,8,ScienceDirect;Emerald Insight;Taylor & Francis;Scopus;SpringerLink;Wiley Online Library;Web of Science;ProQuest,yes,no,no,low,no,no,yes,no,no,no
1708,Mourtzis,2020,Machine tool 4.0 in the era of digital manufacturing,Greece,European Modeling & Simulation Symposium,Industrial,no,neither,no,no,no,yes,na,5,Google Scholar;ResearchGate;ScienceDirect;Scopus;Web of Science,yes,yes,yes,high,no,no,yes,no,no,no
1709,Mousavi,2017,What are the antecedents of safety performance in the workplace? A critical review of literature,Italy,IIE Annual Conference & Expo,Industrial,no,neither,no,no,no,yes,no,5,Google Scholar;Web of Science;ScienceDirect;SpringerLink;PsycINFO,yes,no,no,low,no,no,no,no,no,no
1710,Mousavi,2021,The role of low-power wide-area network technologies in Internet of Things: A systematic and comprehensive review,Iran,International Journal of Communication Systems,Electrical,yes,systematic review,yes,no,no,yes,na,9,Google Scholar;ScienceDirect;Emerald Insight;Web of Science;IEEE Xplore;Wiley Online Library;SpringerLink;ASCE Library;Taylor & Francis,yes,no,no,low,no,no,yes,yes,no,no
1711,Mousavi Khaneghah,2019,Mycotoxins in cereal-based products during 24 years (1983-2017): A global systematic review,Brazil,Trends in Food Science & Technology,Biomedical,yes,systematic review,no,no,no,yes,na,3,ScienceDirect;PubMed;Scopus,yes,no,yes,low,no,no,yes,yes,no,no
1712,Mousavi Khaneghah,2019,Changes in masked forms of deoxynivalenol and their co-occurrence with culmorin in cereal-based products: A systematic review and meta-analysis,Brazil,Food Chemistry,Biomedical,yes,both,no,no,no,yes,na,4,ScienceDirect;PubMed;Scopus;EMBASE,yes,no,yes,low,no,no,yes,yes,no,no
1713,Mozaffari,2017,Freehand 3-D Ultrasound Imaging: A Systematic Review,Canada,Ultrasound in Medicine & Biology,Environmental,yes,systematic review,yes,no,yes,yes,na,4,Google Scholar;University Library Search (various);IEEE Xplore;PubMed,yes,no,yes,low,no,no,yes,yes,no,no
1714,Msawil,2022,A Systematic evaluation of blockchain-enabled contract administration in construction projects,United Kingdom,Automation in Construction,Civil,no,neither,no,no,no,yes,na,2,Scopus;ASCE Library,yes,yes,yes,low,no,no,yes,yes,no,no
1715,Muduli,2018,Application of wireless sensor network for environmental monitoring in underground coal mines: A systematic review,India,Journal of Network & Computer Applications,Electrical,yes,systematic review,yes,no,no,yes,na,6,IEEE Xplore;ACM Digital Library;ScienceDirect;SpringerLink;Google Scholar;Scopus,yes,no,yes,low,no,no,yes,yes,yes,yes
1716,Muhamad,2018,"Smart campus features, technologies, and applications: A systematic literature review",Indonesia,International Conference on Information Technology Systems & Innovation,Electrical,yes,systematic review,yes,no,yes,yes,na,4,IEEE Xplore;ScienceDirect;SpringerLink;Scopus,yes,no,no,low,no,no,yes,no,no,no
1717,Muhs,2018,Temporal variability in human performance: A systematic literature review,United States,International Journal of Industrial Ergonomics,Industrial,yes,systematic review,yes,no,no,yes,no,7,Web of Science;Compendex;IEEE Xplore;PsycINFO;Defense Technical Information Center;ProQuest Dissertations & Theses;Google Scholar,yes,no,no,low,no,yes,yes,yes,no,no
1718,Mukalay,2022,A systematic review of process uncertainty in Ti6Al4V-selective laser melting,South Africa,CIRP Journal of Manufacturing Science & Technology,Industrial,yes,systematic review,no,no,no,yes,na,14,Scopus;Web of Science;PubMed;IEEE Xplore;ScienceDirect;Directory of Open Access Journals;JSTOR;Compendex;ASME Digital Collection;ASTM Digital Library;SPIE Digital Library;Applied Science & Technology Full Text;Biological & Agriculture Index Plus;Biological Sciences,yes,no,no,low,no,no,yes,yes,no,no
1719,Muller,2017,Retrieval from and Understanding of Large-Scale Multi-modal Medical Datasets: A Review,Switzerland,IEEE Transactions on Multimedia,Industrial,no,neither,no,no,no,yes,na,1,PubMed,yes,no,yes,low,no,no,no,no,no,no
1720,Muller,2019,Digitization in wood supply A review on how Industry 4.0 will change the forest value chain,Germany,Computers & Electronics in Agriculture,Environmental,no,neither,yes,no,no,yes,na,2,ScienceDirect;Google Scholar,yes,no,yes,low,no,no,no,no,no,no
1721,Muller,2019,A systematic literature review of interoperability in the green Building Information Modeling lifecycle,Brazil,Journal of Cleaner Production,Industrial,yes,systematic review,no,no,no,yes,na,3,Scopus;Engineering Village;ProQuest,yes,no,yes,high,no,no,no,no,no,yes
1722,Mulya,2022,A systematic review of life cycle assessment of solid waste management: Methodological trends and prospects,Malaysia,Science of the Total Environment,Environmental,yes,systematic review,no,no,no,yes,na,1,Web of Science,yes,no,no,low,no,no,yes,yes,no,no
1723,Mumali,2022,Artificial neural network-based decision support systems in manufacturing processes: A systematic literature review,Poland,Computers & Industrial Engineering,Electrical,yes,systematic review,yes,no,no,yes,na,2,Web of Science;Scopus,yes,yes,yes,low,no,no,yes,yes,yes,no
1724,Munaro,2020,Towards circular and more sustainable buildings: A systematic literature review on the circular economy in the built environment,Brazil,Journal of Cleaner Production,Civil,yes,systematic review,no,no,no,yes,na,3,Web of Science;ScienceDirect;Scopus,yes,no,yes,low,no,no,yes,yes,no,no
1725,Munaro,2021,Materials passport's review: challenges and opportunities toward a circular economy building sector,Brazil,Built Environment Project & Asset Management,Civil,no,neither,no,no,no,yes,na,3,Web of Science;ScienceDirect;Scopus,yes,no,no,low,no,no,yes,yes,no,no
1726,Munaro,2021,Circular Business Models: Current State and Framework to Achieve Sustainable Buildings,Brazil,Journal of Construction Engineering & Management,Civil,no,neither,yes,no,yes,yes,na,3,Web of Science;ScienceDirect;Scopus,yes,no,no,low,no,no,yes,yes,no,no
1727,Munir,2022,"Blockchain Adoption for Sustainable Supply Chain Management: Economic, Environmental, and Social Perspectives",Pakistan,Frontiers in Energy Research,Electrical,yes,systematic review,yes,no,no,yes,na,3,ScienceDirect;Google Scholar;Scopus,yes,no,no,low,no,no,yes,yes,no,no
1728,Munn,2021,Asset management competency requirements in Australian local government: a systematic literature review,Australia,Australasian Journal of Engineering Education,Industrial,yes,systematic review,yes,no,yes,yes,na,4,Scopus;EBSCOhost;Web of Science;INFORMIT,yes,yes,yes,high,no,yes,yes,yes,no,no
1729,Munoz Macas,2021,Inventory management for retail companies: A literature review and current trends,Ecuador,International Conference on Information Systems & Software Technologies,Industrial,no,neither,yes,no,no,yes,na,4,Emerald Insight;ScienceDirect;Scopus;Taylor & Francis,yes,no,yes,low,no,no,yes,no,no,no
1730,Muñoz-Carpio,2018,Framework to Enhance Teaching and Learning in System Analysis and Unified Modelling Language,Australia,"IEEE International Conference on Teaching, Assessment & Learning for Engineering",Engineering education,no,neither,no,no,no,yes,no,9,ACM Digital Library;EBSCOhost;IEEE Xplore;ScienceDirect;Emerald Insight;Computers & Applied Science;Wiley Online Library;SpringerLink;Google Scholar,yes,no,no,low,no,no,no,no,no,no
1731,Murali,2022,Utilizing graphene oxide in cementitious composites: A systematic review,Malaysia,Case Studies in Construction Materials,Materials,yes,systematic review,no,no,no,yes,na,1,Scopus,yes,yes,yes,low,no,no,yes,yes,no,no
1732,Murzi,2014,Team-based learning theory applied to engineering education: A systematic review of literature,United States,"ASEE Annual Conference & Exposition, Conference Proceedings",Engineering education,yes,systematic review,no,no,yes,yes,no,1,Engineering Village,yes,no,yes,low,no,no,yes,no,no,no
1733,Musarat,2021,Digital Transformation of the Construction Industry: A Review,Malaysia,International Conference on Decision Aid Sciences & Applications,Civil,no,neither,no,no,no,yes,na,1,Scopus,yes,no,yes,low,no,no,yes,yes,no,no
1734,Musarat,2021,Impact of Communication on Site Accidents Prevention: A Review,Malaysia,International Conference on Decision Aid Sciences & Applications,Civil,no,neither,no,no,no,yes,na,1,Scopus,yes,no,yes,low,no,no,yes,yes,no,no
1735,Muslim,2018,Green driver: Driving behaviors revisited on safety,Malaysia,Archives of Transport,Civil,no,neither,no,no,no,no,na,0,na,yes,no,no,low,no,no,no,no,no,no
1736,Mutikanga,2022,"Postaward Construction and Contract Management of Engineering, Procurement, and Construction Hydropower Projects: Two Case Studies from Uganda",Uganda,Journal of Management in Engineering,Civil,no,neither,no,no,no,yes,na,1,Scopus,yes,no,no,low,no,no,yes,no,no,yes
1737,Mutlag,2019,Enabling technologies for fog computing in healthcare IoT systems,Malaysia,Future Generation Computer Systems,Biomedical,no,neither,yes,no,no,yes,na,4,IEEE Xplore;ScienceDirect;Scopus;Web of Science,yes,no,yes,low,no,no,no,no,no,no
1738,Mwema,2020,A systematic review of magnetron sputtering of AlN thin films for extreme condition sensing,South Africa,Materials Today: Proceedings,Materials,yes,systematic review,yes,no,no,yes,na,1,Web of Science,yes,no,yes,low,no,no,yes,yes,no,no
1739,Na,2021,Characterization and design for last mile logistics: a review of the state of the art and future directions,South Korea,Applied Sciences,Industrial,no,neither,no,no,no,yes,na,8,EBSCOhost;ScienceDirect;Google Scholar;JSTOR;ScienceDirect;SpringerLink;Web of Science;Wiley Online Library,yes,no,no,low,no,no,yes,no,no,no
1740,Na,2017,A Systematic Review of Learning Analytics Intervention Contributing to Student Success in Online Learning,Malaysia,International Conference on Learning & Teaching in Computing & Engineering,Engineering education,yes,systematic review,yes,no,no,yes,no,9,ACM Digital Library;Education & Information Technology Digital Library;IEEE Xplore;SAGE Journals Online;Google Scholar;ScienceDirect;Scopus;Society for Learning Analytics Research;SpringerLink,yes,no,yes,low,no,no,yes,no,no,no
1741,Nabi,2019,Wheeze sound analysis using computer-based techniques: A systematic review,Malaysia,Biomedizinische Technik,Biomedical,yes,systematic review,no,no,no,yes,na,5,IEEE Xplore;ACM Digital Library;PubMed;SpringerLink;ScienceDirect,yes,no,no,low,no,no,yes,yes,no,no
1742,Nadda,2021,A Systematic Review of Real-time Fine-needle Aspiration Biopsy Methods for Soft Tissues,India,IETE Technical Review,Biomedical,yes,systematic review,no,no,yes,yes,na,3,Google Scholar;PubMed;ScienceDirect,yes,yes,yes,high,no,no,yes,yes,no,no
1743,Naderpour,2019,Forest fire induced Natech risk assessment: A survey of geospatial technologies,Australia,Reliability Engineering & System Safety,Environmental,no,neither,no,no,no,yes,na,2,Scopus;Web of Science,yes,no,no,low,no,no,yes,yes,no,no
1744,Naderpour,2019,Uncertainty management in time estimation of construction projects: A systematic literature review and new model development,Iran,Scientia Iranica,Civil,yes,systematic review,no,no,no,yes,na,6,ScienceDirect;ASCE Library;Taylor & Francis;SpringerLink;Hindawi;Wiley Online Library,yes,no,no,low,no,no,no,no,no,no
1745,Naeemah,2022,Positive impacts of lean manufacturing tools on sustainability aspects: a systematic review,Malaysia,Journal of Industrial & Production Engineering,Industrial,yes,systematic review,yes,no,no,yes,na,7,ScienceDirect;Emerald Insight;SpringerLink;Taylor & Francis;MDPI Journals;Google Scholar;Scopus,yes,no,no,low,no,no,yes,yes,yes,no
1746,Nafe Assafi,2022,Development and validation of a framework for preventing and mitigating construction delay using 4D BIM platform in Bangladeshi construction sector,Bangladesh,Construction Innovation,Civil,no,neither,no,no,no,yes,na,2,Dimensions;Google Scholar,yes,no,no,low,no,no,yes,yes,no,no
1747,Nafrees,2021,Smart technologies in tourism: A study using systematic review and grounded theory,Sri Lanka,Smart Computing & Systems Engineering,Electrical,yes,systematic review,no,no,no,yes,na,8,EBSCOhost;Google Scholar;ScienceDirect;Emerald Insight;SpringerLink;Taylor & Francis;IEEE Xplore;Scopus,yes,no,no,low,no,no,yes,yes,yes,no
1748,Naghshbandi,2021,Technologies for safe and resilient earthmoving operations: A systematic literature review,United Kingdom,Automation in Construction,Civil,yes,systematic review,yes,no,no,yes,yes,4,Scopus;Web of Science;EBSCOhost;ABI/INFORM,yes,yes,yes,high,no,no,yes,no,yes,yes
1749,Naghshineh,2022,The implications of additive manufacturing technology adoption for supply chain resilience: A systematic search and review,Portugal,International Journal of Production Economics,Industrial,yes,systematic review,yes,no,no,yes,na,2,Scopus;Web of Science,yes,yes,no,low,no,no,yes,no,yes,no
1750,Nagpal,2021,Heat recovery from wastewater - a review of available resource,Ireland,Water,Civil,no,neither,no,no,no,yes,na,4,Google Scholar;ScienceDirect;Scopus;Semantic Scholar,yes,no,no,low,no,no,no,no,no,no
1751,Najeeb,2017,Regenerative Potential of Platelet Rich Fibrin (PRF) for Curing Intrabony Periodontal Defects: A Systematic Review of Clinical Studies,Saudi Arabia,Tissue Engineering & Regenerative Medicine,Biomedical,yes,systematic review,yes,no,no,yes,na,3,MEDLINE;Google Scholar;Web of Science,yes,no,yes,low,no,no,yes,yes,no,no
1752,Nam,2021,Direct Communication Between Brains: A Systematic PRISMA Review of Brain-To-Brain Interface,United States,Frontiers in Neurorobotics,Biomedical,yes,systematic review,yes,no,no,yes,na,4,IEEE Xplore;PubMed;Engineering Village;Web of Science,yes,no,yes,low,no,no,yes,yes,no,no
1753,Nam,2020,Brain-to-Brain Neural Synchrony During Social Interactions: A Systematic Review on Hyperscanning Studies,United States,Applied Sciences,Industrial,yes,systematic review,yes,no,no,yes,na,5,IEEE Xplore;PubMed;Engineering Village;Web of Science;Scopus,yes,no,yes,low,no,no,yes,yes,no,no
1754,Namazi,2019,Intelligent Intersection Management Systems Considering Autonomous Vehicles: A Systematic Literature Review,Norway,IEEE Access,Electrical,yes,systematic review,yes,no,no,yes,no,7,Scopus;IEEE Xplore;Compendex;INSPEC;OVID;ACM Digital Library;Web of Science,yes,yes,yes,high,no,no,yes,yes,no,no
1755,Narain,2021,Zero accident vision: Literature review and future directions in indian context,United States,Recent Patents on Engineering,Mechanical,no,neither,no,no,yes,yes,na,1,Scopus,yes,no,no,low,no,no,yes,no,no,no
1756,Narashima,2017,Designing Telemedicine Systems for Geriatric Patients: A Review of the Usability Studies,United States,Telemedicine & e-Health,Industrial,no,neither,no,no,no,yes,na,2,PubMed;Web of Science,yes,no,no,low,no,no,yes,yes,no,yes
1757,Narkhede,2016,Linkages in advanced manufacturing strategy: a literature review,India,International Journal of Applied Management Sciences & Engineering,Industrial,no,neither,no,no,no,no,no,0,na,no,no,no,low,no,no,no,no,no,no
1758,Nascimento,2016,Management of risks in natural disasters: A systematic review of the literature on NATECH events,Brazil,Journal of Loss Prevention in the Process Industries,Industrial,yes,systematic review,yes,no,yes,yes,na,2,Web of Science;Scopus,yes,yes,yes,high,no,no,yes,yes,no,yes
1759,Naskoudakis,2016,A Thematic Review of Main Researches on Construction Equipment Over the Recent Years,Greece,Procedia Engineering,Civil,no,neither,no,no,no,yes,na,4,Scopus;ASCE Library;ScienceDirect;Emerald Insight,yes,no,no,low,no,no,no,no,no,no
1760,Nasr,2021,Application of advanced driver-assistance systems in police vehicles,United States,Journal of the Transportation Research Board,Industrial,no,neither,no,no,no,yes,na,5,Google Scholar;Compendex;Web of Science;TRID;Google Patents,yes,no,no,low,no,no,yes,yes,no,no
1761,Nasser-dine,2021,Does Explicit Categorization Taxonomy Facilitate Performing Goal-Directed Task Analysis?,Canada,IEEE Transactions on Human-Machine Systems,Electrical,no,neither,no,no,no,yes,yes,7,Google Scholar;Scopus;Web of Science;SAGE Journals Online;Compendex;INSPEC;Knovel,yes,no,no,high,no,no,no,no,no,no
1762,Nassif,2019,Speech Recognition Using Deep Neural Networks: A Systematic Review,United Arab Emirates,IEEE Access,Electrical,yes,systematic review,yes,no,no,yes,no,5,Google Scholar;IEEE Xplore;ScienceDirect;ResearchGate;SpringerLink,yes,no,no,low,no,no,yes,no,no,no
1763,Navarro,2020,Life cycle sustainability assessment for multi-criteria decision making in bridge design: A review,Spain,Journal of Civil Engineering & Management,Civil,no,neither,no,no,no,yes,na,1,Scopus,yes,no,yes,low,no,no,yes,yes,no,yes
1764,Navarro-Astor,2017,Women's career development in the construction industry across 15 years: main barriers,Spain,"Journal of Engineering, Design & Technology",Civil,no,neither,no,no,no,yes,na,5,Web of Science;Scopus;ARCOM;Redalyc;Google Scholar,yes,no,yes,low,no,no,yes,no,no,no
1765,Naveed,2018,Enhancement of E-Learning performance through OSN,Saudi Arabia,IEEE International Conference on Engineering Technologies & Applied Sciences,Engineering education,no,neither,yes,no,no,yes,no,6,Google Scholar;IEEE Xplore;ScienceDirect;ACM Digital Library;SpringerLink;Taylor & Francis,yes,no,no,low,no,no,no,no,no,no
1766,Nawayseh,2021,Biodynamic responses to whole-body vibration training: A systematic review,United Arab Emirates,Journal of Applied Biomechanics,Biomedical,yes,systematic review,no,no,no,yes,na,1,Scopus,yes,yes,no,low,no,no,yes,yes,no,no
1767,Nawaz,2021,A Comprehensive Literature Review of Application of Artificial Intelligence in Functional Magnetic Resonance Imaging for Disease Diagnosis,Pakistan,Applied Artificial Intelligence,Electrical,no,neither,yes,no,no,yes,na,3,IEEE Xplore;ACM Digital Library;SpringerLink,yes,no,yes,low,no,no,yes,yes,no,yes
1768,Nawaz,2018,Development of a systematic framework for sustainability management of organizations,Qatar,Journal of Cleaner Production,Industrial,no,neither,no,no,no,yes,yes,5,ScienceDirect;Emerald Insight;Wiley Online Library;Taylor & Francis;ProQuest,yes,yes,yes,low,no,no,yes,no,no,no
1769,Nawaz,2019,Safety and sustainability nexus: A review and appraisal,Qatar,"Tissue Engineering, Part B: Reviews",Chemical,no,neither,yes,no,yes,yes,no,8,ScienceDirect;SpringerLink;Wiley Online Library;SAGE Journals Online;Taylor & Francis;JSTOR;Emerald Insight;ACS Publications,yes,yes,yes,high,no,no,no,yes,no,no
1770,Nazar,2022,Ankle Rehabilitation Robotic Systems for domestic use a systematic review,Germany,Current Directions in Biomedical Engineering,Biomedical,yes,systematic review,no,no,yes,yes,na,2,Web of Science;PubMed,yes,no,no,low,no,no,yes,no,no,no
1771,Nazneen,2022,Recent Trends in Non-invasive Neural Recording Based Brain-to-Brain Synchrony Analysis on Multidisciplinary Human Interactions for Understanding Brain Dynamics: A Systematic Review,Bangladesh,Frontiers in Computational Neuroscience,Electrical,yes,systematic review,yes,no,yes,yes,na,6,Google Scholar;PubMed;bioRxiv;ScienceDirect;IEEE Xplore;Web of Science,yes,yes,yes,low,no,no,yes,yes,no,no
1772,Neamat,2020,A systematic review of GIS-based landslide Hazard Mapping on Determinant Factors from International Databases,Iraq,Third International Conference on Advanced Science & Engineering,Environmental,yes,systematic review,no,no,no,yes,na,4,ScienceDirect;Scopus;SpringerLink;IEEE Xplore,yes,no,no,low,no,no,no,no,no,no
1773,Needham,2016,Three-dimensional kinematics of the lumbar spine during gait using marker-based systems: a systematic review,United Kingdom,Journal of Medical Engineering & Technology,Biomedical,yes,systematic review,no,no,yes,yes,no,7,PubMed;OVID;Cumulative Index to Nursing and Allied Health Literature;Cochrane Library;ScienceDirect;ProQuest;Web of Science,yes,no,yes,low,no,no,yes,yes,yes,no
1774,Negri,2021,Integrating sustainability and resilience in the supply chain: a systematic literature review and a research agenda,Italy,Business Strategy & the Environment,Industrial,yes,systematic review,no,no,yes,yes,na,1,Scopus,yes,yes,yes,low,no,no,yes,yes,yes,yes
1775,Neri,2022,The mutual interdependences between safety and operations: A systematic literature review,Italy,Safety Science,Industrial,yes,systematic review,yes,no,yes,yes,na,1,Scopus,yes,no,yes,low,no,no,yes,yes,yes,yes
1776,Neumann,2010,Human factors: spanning the gap between OM and HRM,Canada,International Journal of Operations & Production Management,Industrial,no,neither,no,no,no,no,na,3,Web of Science;Ergonomics Abstracts;Business Source,yes,no,yes,low,no,yes,yes,no,no,no
1777,Neves,2015,Different responses of the skin temperature to physical exercise: systematic review,Brazil,International Conference of the IEEE Engineering in Medicine & Biology Society,Biomedical,yes,systematic review,no,no,yes,yes,na,1,Web of Science,yes,no,no,low,no,no,yes,yes,no,no
1778,Neves,2021,Recent studies on modified cellulose/nanocellulose epoxy composites: A systematic review,Brazil,Carbohydrate Polymers,Materials,yes,systematic review,no,no,yes,yes,na,3,Scopus;Web of Science;SciFinder,yes,no,yes,low,no,no,yes,yes,no,yes
1779,Newaz,2018,Developing a safety climate factor model in construction research and practice: a systematic review identifying future directions for research,Australia,"Engineering, Construction & Architectural Management",Civil,yes,systematic review,no,no,no,yes,na,1,Scopus,yes,no,yes,low,no,no,yes,no,no,no
1780,Ng,2022,Identifying enablers and relational ontology networks in design for digital fabrication,Switzerland,Automation in Construction,Civil,no,neither,no,no,yes,yes,na,1,Scopus,yes,no,yes,low,no,no,yes,no,no,no
1781,Ng,2018,A semantic similarity analysis of Internet of Things,China,Enterprise Information Systems,Industrial,no,neither,no,no,no,yes,na,1,Web of Science,yes,no,no,low,no,no,no,no,no,no
1782,Ng,2021,"A systematic literature review on intelligent automation: Aligning concepts from theory, practice, and future perspectives",China,Advanced Engineering Informatics,Electrical,yes,systematic review,yes,no,yes,yes,na,6,IEEE Xplore;ScienceDirect;Taylor & Francis;SpringerLink;Emerald Insight;Web of Science,yes,no,no,low,no,no,yes,yes,no,no
1783,Ngo,2022,Computerized analysis of speech and voice for Parkinson's disease: A systematic review,Australia,Computer Methods & Programs in Biomedicine,Electrical,yes,systematic review,yes,no,no,yes,yes,2,PubMed;ScienceDirect,yes,no,yes,low,no,no,yes,yes,no,yes
1784,Nguyen,2021,Measurement of Fuzzy Membership Functions in Construction Risk Assessment,United States,Journal of Construction Engineering & Management,Civil,no,neither,yes,no,yes,yes,na,1,Web of Science,yes,yes,no,low,no,no,yes,yes,no,no
1785,Nguyen,2018,The value of information in supply chain decisions: a review of the literature and research agenda,Netherlands,Computers & Industrial Engineering,Industrial,no,neither,yes,no,no,yes,na,2,Scopus;Web of Science,yes,no,yes,low,no,no,no,no,no,no
1786,Nguyen,2018,Systematic review of prosthetic socket fabrication using 3D printing,France,ACM International Conference Proceeding Series,Biomedical,yes,systematic review,no,no,no,yes,na,3,ScienceDirect;PubMed;Google Scholar,yes,no,yes,low,no,no,yes,no,no,no
1787,Nguyen,2017,Effects of biochar on soil available inorganic nitrogen: A review and meta-analysis,Australia,Geoderma,Environmental,yes,meta analysis,no,no,no,yes,na,3,Google Scholar;University Library Search (various);ScienceDirect,yes,no,yes,low,no,no,yes,yes,yes,no
1788,Nguyen,2022,Applications of fuzzy hybrid techniques in construction engineering and management research,Canada,Automation in Construction,Civil,no,neither,no,no,no,yes,na,10,Google Scholar;ScienceDirect;Emerald Insight;Web of Science;IEEE Xplore;Wiley Online Library;SpringerLink;ASCE Library;ScienceDirect;Taylor & Francis,yes,no,yes,high,no,no,yes,yes,no,no
1789,Ni,2020,A systematic review of the research trends of machine learning in supply chain management,China,International Journal of Machine Learning & Cybernetics,Industrial,yes,systematic review,yes,no,no,yes,na,5,Emerald Insight;IEEE Xplore;Scopus;ScienceDirect;Google Scholar,yes,yes,yes,low,no,no,no,yes,no,no
1790,Niazkhani,2017,The impact of health information technology on organ transplant care: A systematic review,Iran,International Journal of Medical Informatics,Biomedical,yes,systematic review,no,no,yes,yes,yes,6,MEDLINE;EMBASE;EMBASE;Cumulative Index to Nursing and Allied Health Literature;Cochrane Library;IEEE Xplore,yes,yes,yes,high,no,no,yes,yes,yes,no
1791,Nifakos,2021,Influence of human factors on cyber security within healthcare organisations: A systematic review,Sweden,Sensors,Electrical,yes,systematic review,yes,no,no,yes,yes,3,MEDLINE;Cumulative Index to Nursing and Allied Health Literature;Web of Science,yes,yes,yes,high,no,yes,yes,yes,no,yes
1792,Nikkhah,2021,Active participation of buildings in the energy networks: Dynamic/operational models and control challenges,United Kingdom,Energies,Environmental,no,neither,yes,no,no,no,na,0,na,yes,no,no,low,no,no,yes,yes,no,no
1793,Nine,2014,Wear debris characterization and corresponding biological response: Artificial hip and knee joints,Malaysia,Materials,Biomedical,no,neither,no,no,no,yes,na,5,PubMed;ScienceDirect;SpringerLink;Web of Science;Google Scholar,yes,no,no,low,no,no,yes,yes,no,no
1794,Nino-Barrera,2022,Atypical Radicular Anatomy in Permanent Human Teeth: A Systematic Review,Colombia,Critical Reviews in Biomedical Engineering,Biomedical,yes,systematic review,no,yes,no,yes,na,1,PubMed,yes,no,no,low,no,no,yes,yes,no,no
1795,Nitsch,2013,A Meta-Analysis of the Effects of Haptic Interfaces on Task Performance with Teleoperation Systems,Germany,IEEE Transactions on Haptics,Electrical,yes,meta analysis,no,no,no,yes,no,4,PsycINFO;Cambridge Journals Online;IEEE Xplore;Google Scholar,yes,no,no,low,no,no,yes,no,yes,no
1796,Nittala,2018,Managing engineering talent in organizations: A qualitative systematic literature review on engineering talent management,United States,"ASEE Annual Conference & Exposition, Conference Proceedings",Engineering education,yes,systematic review,yes,no,no,yes,yes,3,Compendex;INSPEC;ABI/INFORM,yes,no,no,low,no,no,yes,yes,no,no
1797,Niu,2019,Preparation of papers for IFAC conferences & Symposia: Exploring servitization from value creation path: A systematic review on empirical investigation,China,"IFAC Conference on Manufacturing Modelling, Management & Control",Industrial,yes,systematic review,yes,no,no,yes,na,2,Web of Science;Emerald Insight,yes,no,yes,low,no,no,no,no,no,no
1798,Niu,2021,Disclosing the formation and value creation of servitization through influential factors: a systematic review and future research agenda,China,International Journal of Production Research,Industrial,yes,systematic review,yes,no,no,yes,na,2,Web of Science;Emerald Insight,yes,no,no,low,no,no,no,no,no,no
1799,Niu,2016,Overview and Analysis of Safety Climate Studies in the Construction Industry,United States,Construction Research Congress,Industrial,no,neither,no,no,no,yes,yes,4,ScienceDirect;EBSCOhost;Engineering Village;Scopus,yes,no,no,low,no,no,no,no,no,no
